Rank,Release Group,Worldwide,Domestic,%,Foreign,%
149,Mafia Mamma,"$6,120,609","$3,496,761",57.1%,"$2,623,848",42.9%
150,Life for Real,"$6,116,543",-,-,"$6,116,543",100%
151,"And Yet, You Are So Sweet","$6,099,393",-,-,"$6,099,393",100%
152,Big George Foreman,"$6,031,202","$5,426,772",90%,"$604,430",10%
153,The Childe,"$5,934,764","$102,021",1.7%,"$5,832,743",98.3%
154,Road to Boston,"$5,896,325",-,-,"$5,896,325",100%
155,It Lives Inside,"$5,778,768","$4,662,146",80.7%,"$1,116,622",19.3%
156,Blue Giant,"$5,745,531",-,-,"$5,745,531",100%
157,The Devil's Deal,"$5,702,702",-,-,"$5,702,702",100%
158,You Hurt My Feelings,"$5,698,637","$4,830,788",84.8%,"$867,849",15.2%
159,Rocky Aur Rani Kii Prem Kahaani,"$5,627,462",-,-,"$5,627,462",100%
160,Infelices para Siempre,"$5,602,272",-,-,"$5,602,272",100%
161,The Chosen Season 3 Finale,"$5,589,142","$5,525,069",98.9%,"$64,073",1.1%
162,10 jours encore sans maman,"$5,583,794",-,-,"$5,583,794",100%
163,The Unlikely Pilgrimage of Harold Fry,"$5,574,925",-,-,"$5,574,925",100%
164,Off the Rails,"$5,467,591",-,-,"$5,467,591",100%
165,Nefarious,"$5,433,685","$5,433,685",100%,-,-
166,Baba Yaga spasyot mir,"$5,387,417",-,-,"$5,387,417",100%
167,Golda,"$5,360,351","$4,772,119",89%,"$588,232",11%
168,Detective Conan: Episode of Ai Haibara - Black Iron Mystery Train,"$5,336,693",-,-,"$5,336,693",100%
169,Les blagues de Toto 2 - Classe verte,"$5,206,007",-,-,"$5,206,007",100%
170,Infinity Pool,"$5,183,424","$5,078,400",98%,"$105,024",2%
171,¡Vaya vacaciones!,"$5,176,254",-,-,"$5,176,254",100%
172,Phantom,"$5,173,638",-,-,"$5,173,638",100%
173,Hustler vs Scammer (Sieu Lua Gap Sieu Lay),"$5,166,455",-,-,"$5,166,455",100%
174,The Moon,"$5,153,451","$92,718",1.8%,"$5,060,733",98.2%
175,Rebound,"$5,145,202",-,-,"$5,145,202",100%
176,The Silent Service,"$5,140,123",-,-,"$5,140,123",100%
177,Stop Making Sense 2023 Re-release,"$5,139,374","$4,497,980",87.5%,"$641,394",12.5%
178,Chi Chi Em Em 2,"$5,109,674",-,-,"$5,109,674",100%
179,Shylock's Children,"$5,102,646",-,-,"$5,102,646",100%
180,Allelujah,"$5,035,719",-,-,"$5,035,719",100%
181,Ponniyin Selvan: Part Two,"$5,035,633","$3,813,000",75.7%,"$1,222,633",24.3%
182,Me contro Te - il Film: Missione Giungla,"$5,031,684",-,-,"$5,031,684",100%
183,Just the Two of Us,"$5,016,390",-,-,"$5,016,390",100%
184,Someday or One Day,"$5,009,619",-,-,"$5,009,619",100%
185,Winnie the Pooh: Blood and Honey,"$4,941,200","$1,750,639",35.4%,"$3,190,561",64.6%
186,A Great Friend,"$4,894,070",-,-,"$4,894,070",100%
187,Jailer,"$4,817,871",-,-,"$4,817,871",100%
188,Emergency Landing,"$4,752,283",-,-,"$4,752,283",100%
189,ONEMANSHOW: The Movie,"$4,681,464",-,-,"$4,681,464",100%
190,SSSS.Gridman,"$4,636,916",-,-,"$4,636,916",100%
191,Sage homme,"$4,613,332",-,-,"$4,613,332",100%
192,Last Night of Amore,"$4,580,566","$3,865",<0.1%,"$4,576,701",99.9%
193,2018,"$4,547,765",-,-,"$4,547,765",100%
194,Love Reset,"$4,546,708",-,-,"$4,546,708",100%
195,IM HERO THE FINAL,"$4,514,656",-,-,"$4,514,656",100%
196,Mari(dos),"$4,483,495",-,-,"$4,483,495",100%
197,Weekend Rebels,"$4,477,262",-,-,"$4,477,262",100%
198,Maamannan,"$4,463,992",-,-,"$4,463,992",100%
199,Maybe I Do,"$4,450,096","$1,293,722",29.1%,"$3,156,374",70.9%
200,Nyurnberg,"$4,354,380",-,-,"$4,354,380",100%
