Rank,Release Group,Worldwide,Domestic,%,Foreign,%
109,The Blind,"$11,678,840","$11,678,840",100%,-,-
110,Face Off 6: The Ticket of Destiny,"$11,538,081",-,-,"$11,538,081",100%
111,Beau Is Afraid,"$11,480,078","$8,176,562",71.2%,"$3,303,516",28.8%
112,What's Love Got to Do with It?,"$11,108,409",-,-,"$11,108,409",100%
113,Samurai Beyond Admiration Record to the World's Best,"$10,876,188",-,-,"$10,876,188",100%
114,Honey Sweet,"$10,744,262",-,-,"$10,744,262",100%
115,The Machine,"$10,664,328","$10,458,331",98.1%,"$205,997",1.9%
116,Sleep,"$10,285,313",-,-,"$10,285,313",100%
117,Sun and Concrete,"$10,119,958",-,-,"$10,119,958",100%
118,The Crime Is Mine,"$10,113,590",-,-,"$10,113,590",100%
119,After Everything,"$9,525,747",-,-,"$9,525,747",100%
120,House Party,"$9,284,647","$9,002,247",97%,"$282,400",3%
121,Kandahar,"$9,189,524","$4,813,132",52.4%,"$4,376,392",47.6%
122,All Your Faces,"$9,056,053",-,-,"$9,056,053",100%
123,Anatomy of a Fall,"$8,922,043",-,-,"$8,922,043",100%
124,The Wandering Earth II,"$8,854,786","$5,023,132",56.7%,"$3,831,654",43.3%
125,Father & Soldier,"$8,597,034",-,-,"$8,597,034",100%
126,Dream,"$8,317,251",-,-,"$8,317,251",100%
127,Vacaciones de verano,"$8,164,769",-,-,"$8,164,769",100%
128,Ransomed,"$8,101,634","$142,101",1.8%,"$7,959,533",98.2%
129,Sur les chemins noirs,"$7,964,795",-,-,"$7,964,795",100%
130,Cobweb,"$7,841,261",-,-,"$7,841,261",100%
131,The Hill,"$7,665,865","$7,665,865",100%,-,-
132,PreCure All Stars F,"$7,643,488",-,-,"$7,643,488",100%
133,Ichikei's Crow,"$7,377,092",-,-,"$7,377,092",100%
134,Star Wars: Episode VI - Return of the Jedi 2023 Re-release,"$7,259,924","$7,259,924",100%,-,-
135,Cats in the Museum,"$7,239,299",-,-,"$7,239,299",100%
136,Coraline 2023 Re-release (remastered),"$7,149,366","$7,149,366",100%,-,-
137,Les petites victoires,"$7,056,157",-,-,"$7,056,157",100%
138,The Jungle Bunch 2: World Tour,"$6,994,201",-,-,"$6,994,201",100%
139,Knights of the Zodiac,"$6,986,177","$1,090,155",15.6%,"$5,896,022",84.4%
140,Beautiful Disaster,"$6,850,036",-,-,"$6,850,036",100%
141,Pravednik,"$6,758,440",-,-,"$6,758,440",100%
142,A Brighter Tomorrow,"$6,508,544",-,-,"$6,508,544",100%
143,City Hunter the Movie: Angel Dust,"$6,394,423",-,-,"$6,394,423",100%
